ID,next,prev,gender,frame,t(s),x(m),y(m)
1,-1,2,1,0,0.0,2.3473,1.5472
1,-1,2,1,1,0.04,2.3719,1.5484
1,-1,2,1,2,0.08,2.3968,1.5518
1,-1,2,1,3,0.12,2.4195,1.5572
1,-1,2,1,4,0.16,2.443,1.5606
1,-1,2,1,5,0.2,2.4663,1.566
1,-1,2,1,6,0.24,2.49,1.5706
1,-1,2,1,7,0.28,2.5141,1.5736
1,-1,2,1,8,0.32,2.5384,1.5752
1,-1,2,1,9,0.36,2.563,1.5727
1,-1,2,1,10,0.4,2.5887,1.5685
1,-1,2,1,11,0.44,2.6145,1.5635
1,-1,2,1,12,0.48,2.6399,1.5586
1,-1,2,1,13,0.52,2.6718,1.5549
1,-1,2,1,14,0.56,2.7034,1.5536
1,-1,2,1,15,0.6,2.7374,1.5548
1,-1,2,1,16,0.64,2.7708,1.5608
1,-1,2,1,17,0.68,2.8051,1.5684
1,-1,2,1,18,0.72,2.8365,1.5774
1,-1,2,1,19,0.76,2.8696,1.585
1,-1,2,1,20,0.8,2.8984,1.5897
1,-1,2,1,21,0.84,2.93,1.5934
1,-1,2,1,22,0.88,2.9592,1.5981
1,-1,2,1,23,0.92,2.9894,1.602
1,-1,2,1,24,0.96,3.0158,1.6024
1,-1,2,1,25,1.0,3.0451,1.6036
1,-1,2,1,26,1.04,3.072,1.6015
1,-1,2,1,27,1.08,3.0984,1.596
1,-1,2,1,28,1.12,3.1255,1.5906
1,-1,2,1,29,1.16,3.1473,1.5825
1,-1,2,1,30,1.2,3.1703,1.5764
1,-1,2,1,31,1.24,3.1951,1.5697
1,-1,2,1,32,1.28,3.2171,1.5656
1,-1,2,1,33,1.32,3.2368,1.5652
2,1,3,2,0,0.0,0.9847,1.564
2,1,3,2,1,0.04,0.9891,1.5628
2,1,3,2,2,0.08,0.9928,1.5621
2,1,3,2,3,0.12,0.9968,1.5613
2,1,3,2,4,0.16,1.0012,1.5601
2,1,3,2,5,0.2,1.0042,1.5593
2,1,3,2,6,0.24,1.007,1.5592
2,1,3,2,7,0.28,1.0098,1.559
2,1,3,2,8,0.32,1.012,1.5592
2,1,3,2,9,0.36,1.0145,1.5588
2,1,3,2,10,0.4,1.0173,1.5583
2,1,3,2,11,0.44,1.0214,1.5574
2,1,3,2,12,0.48,1.0265,1.5576
2,1,3,2,13,0.52,1.0326,1.5576
2,1,3,2,14,0.56,1.0401,1.5583
2,1,3,2,15,0.6,1.0486,1.5585
2,1,3,2,16,0.64,1.0583,1.5572
2,1,3,2,17,0.68,1.069,1.556
2,1,3,2,18,0.72,1.0806,1.5549
2,1,3,2,19,0.76,1.0933,1.5535
2,1,3,2,20,0.8,1.1073,1.5528
2,1,3,2,21,0.84,1.1219,1.5519
2,1,3,2,22,0.88,1.136,1.5504
2,1,3,2,23,0.92,1.1526,1.5489
2,1,3,2,24,0.96,1.17,1.5489
2,1,3,2,25,1.0,1.1911,1.5509
2,1,3,2,26,1.04,1.2135,1.5556
2,1,3,2,27,1.08,1.2376,1.5633
2,1,3,2,28,1.12,1.2623,1.5717
2,1,3,2,29,1.16,1.2895,1.5805
2,1,3,2,30,1.2,1.3176,1.5875
2,1,3,2,31,1.24,1.345,1.5918
2,1,3,2,32,1.28,1.3748,1.5943
2,1,3,2,33,1.32,1.4055,1.5963
2,1,3,2,34,1.36,1.4366,1.5979
2,1,3,2,35,1.4,1.4672,1.6002
2,1,3,2,36,1.44,1.4971,1.6014
2,1,3,2,37,1.48,1.5298,1.6017
2,1,3,2,38,1.52,1.5633,1.5999
2,1,3,2,39,1.56,1.5992,1.5965
2,1,3,2,40,1.6,1.6353,1.5918
2,1,3,2,41,1.64,1.6727,1.5849
2,1,3,2,42,1.68,1.7113,1.5784
2,1,3,2,43,1.72,1.7536,1.5751
2,1,3,2,44,1.76,1.7946,1.5719
2,1,3,2,45,1.8,1.8397,1.5756
2,1,3,2,46,1.84,1.8838,1.582
2,1,3,2,47,1.88,1.9238,1.5872
2,1,3,2,48,1.92,1.9634,1.5926
2,1,3,2,49,1.96,2.004,1.599
2,1,3,2,50,2.0,2.0431,1.6035
2,1,3,2,51,2.04,2.0811,1.6061
2,1,3,2,52,2.08,2.1192,1.6059
2,1,3,2,53,2.12,2.1561,1.6052
2,1,3,2,54,2.16,2.1941,1.6024
