ID,gender,frame,t(s),x(m),y(m),markerID
2,1,92,3.68,1.8639,1.3582,40
2,1,93,3.72,1.9099,1.3587,40
2,1,94,3.76,1.9359,1.3754,40
2,1,95,3.8,1.9767,1.3679,40
2,1,96,3.84,2.0218,1.3559,40
2,1,97,3.88,2.0614,1.349,40
2,1,98,3.92,2.1083,1.3401,40
2,1,99,3.96,2.1602,1.3314,40
2,1,100,4.0,2.2118,1.3315,40
2,1,101,4.04,2.2677,1.3386,40
2,1,102,4.08,2.32,1.3487,40
2,1,103,4.12,2.3704,1.3603,40
2,1,104,4.16,2.4268,1.3672,40
2,1,105,4.2,2.4785,1.3766,40
2,1,106,4.24,2.5277,1.3811,40
2,1,107,4.28,2.5752,1.3814,40
2,1,108,4.32,2.6272,1.3752,40
2,1,109,4.36,2.6789,1.3661,40
2,1,110,4.4,2.7281,1.3568,40
2,1,111,4.44,2.7764,1.3464,40
2,1,112,4.48,2.8292,1.334,40
2,1,113,4.52,2.8753,1.3324,40
2,1,114,4.56,2.9211,1.3379,40
2,1,115,4.6,2.9645,1.3458,40
2,1,116,4.64,3.0178,1.3502,40
2,1,117,4.68,3.066,1.3581,40
2,1,118,4.72,3.1219,1.3579,40
2,1,119,4.76,3.1668,1.3606,40
2,1,120,4.8,3.2126,1.361,40
2,1,121,4.84,3.258,1.3571,40
2,1,122,4.88,3.3037,1.3522,40
2,1,123,4.92,3.3505,1.3432,40
2,1,124,4.96,3.3955,1.3391,40
3,1,65,2.6,-0.5198,1.3962,30
3,1,66,2.64,-0.4949,1.4018,30
3,1,67,2.68,-0.4703,1.4049,30
3,1,68,2.72,-0.4444,1.4091,30
3,1,69,2.76,-0.4168,1.4108,30
3,1,70,2.8,-0.3887,1.4144,30
3,1,71,2.84,-0.3599,1.4156,30
3,1,72,2.88,-0.3287,1.4153,30
3,1,73,2.92,-0.2962,1.4145,30
3,1,74,2.96,-0.262,1.4117,30
3,1,75,3.0,-0.2268,1.409,30
3,1,76,3.04,-0.1901,1.4068,30
3,1,77,3.08,-0.1514,1.4062,30
3,1,78,3.12,-0.1106,1.4084,30
3,1,79,3.16,-0.0696,1.4147,30
3,1,80,3.2,-0.0307,1.4172,30
3,1,81,3.24,0.0082,1.4203,30
3,1,82,3.28,0.0446,1.4222,30
3,1,83,3.32,0.0825,1.4242,30
3,1,84,3.36,0.1188,1.4259,30
3,1,85,3.4,0.1574,1.4262,30
3,1,86,3.44,0.1968,1.4254,30
3,1,87,3.48,0.236,1.4226,30
3,1,88,3.52,0.278,1.42,30
3,1,89,3.56,0.3197,1.4165,30
3,1,90,3.6,0.3658,1.4156,30
3,1,91,3.64,0.412,1.4179,30
3,1,92,3.68,0.4606,1.4239,30
3,1,93,3.72,0.5067,1.4263,30
3,1,94,3.76,0.5525,1.4288,30
3,1,95,3.8,0.5985,1.4308,30
3,1,96,3.84,0.6429,1.4317,30
3,1,97,3.88,0.687,1.4323,30
3,1,98,3.92,0.7311,1.432,30
3,1,99,3.96,0.7746,1.4298,30
3,1,100,4.0,0.8201,1.4268,30
3,1,101,4.04,0.8657,1.423,30
3,1,102,4.08,0.9111,1.4182,30
3,1,103,4.12,0.9579,1.4148,30
3,1,104,4.16,1.0066,1.4168,30
3,1,105,4.2,1.0538,1.4218,30
3,1,106,4.24,1.1001,1.425,30
3,1,107,4.28,1.1458,1.4273,30
3,1,108,4.32,1.1897,1.4285,30
3,1,109,4.36,1.2338,1.4291,30
3,1,110,4.4,1.2767,1.4281,30
3,1,111,4.44,1.3214,1.427,30
3,1,112,4.48,1.3665,1.4237,30
3,1,113,4.52,1.4127,1.4192,30
3,1,114,4.56,1.4594,1.4148,30
3,1,115,4.6,1.5088,1.4108,30
3,1,116,4.64,1.5591,1.4102,30
3,1,117,4.68,1.611,1.4149,30
3,1,118,4.72,1.6604,1.4197,30
