ID,gender,frame,t(s),x(m),y(m),markerID
3,2,629,25.16,0.3731,1.6036,3
3,2,630,25.2,0.4248,1.6095,3
3,2,631,25.24,0.4747,1.6116,3
3,2,632,25.28,0.5248,1.6106,3
3,2,633,25.32,0.576,1.6071,3
3,2,634,25.36,0.6283,1.6027,3
3,2,635,25.4,0.6807,1.5976,3
3,2,636,25.44,0.7329,1.5927,3
3,2,637,25.48,0.7858,1.5909,3
3,2,638,25.52,0.8387,1.591,3
3,2,639,25.56,0.8935,1.595,3
3,2,640,25.6,0.9474,1.5991,3
3,2,641,25.64,1.0018,1.6045,3
3,2,642,25.68,1.0566,1.6105,3
3,2,643,25.72,1.1116,1.6159,3
3,2,644,25.76,1.1659,1.618,3
3,2,645,25.8,1.2205,1.6164,3
3,2,646,25.84,1.276,1.6117,3
3,2,647,25.88,1.3314,1.6039,3
3,2,648,25.92,1.3866,1.5951,3
3,2,649,25.96,1.4412,1.5878,3
3,2,650,26.0,1.495,1.5832,3
3,2,651,26.04,1.5494,1.5831,3
3,2,652,26.08,1.6011,1.5848,3
3,2,653,26.12,1.6516,1.5893,3
3,2,654,26.16,1.7013,1.596,3
3,2,655,26.2,1.7494,1.6017,3
3,2,656,26.24,1.7956,1.605,3
3,2,657,26.28,1.843,1.6061,3
3,2,658,26.32,1.8908,1.6041,3
3,2,659,26.36,1.9397,1.6006,3
3,2,660,26.4,1.9891,1.5959,3
3,2,661,26.44,2.0397,1.5909,3
3,2,662,26.48,2.0924,1.5866,3
3,2,663,26.52,2.1467,1.5852,3
3,2,664,26.56,2.2016,1.5873,3
3,2,665,26.6,2.2553,1.5914,3
3,2,666,26.64,2.3067,1.5968,3
3,2,667,26.68,2.3562,1.6036,3
3,2,668,26.72,2.4035,1.6102,3
3,2,669,26.76,2.4506,1.6139,3
3,2,670,26.8,2.4984,1.6144,3
3,2,671,26.84,2.5473,1.6113,3
3,2,672,26.88,2.5965,1.6056,3
3,2,673,26.92,2.6448,1.5979,3
3,2,674,26.96,2.6911,1.5897,3
3,2,675,27.0,2.7366,1.5845,3
3,2,676,27.04,2.7799,1.5815,3
3,2,677,27.08,2.8225,1.5832,3
3,2,678,27.12,2.8638,1.586,3
3,2,679,27.16,2.9058,1.5904,3
3,2,680,27.2,2.947,1.5935,3
3,2,681,27.24,2.9874,1.5955,3
3,2,682,27.28,3.0269,1.595,3
3,2,683,27.32,3.0664,1.5924,3
3,2,684,27.36,3.1056,1.5879,3
3,2,685,27.4,3.1445,1.583,3
3,2,686,27.44,3.1824,1.5767,3
3,2,687,27.48,3.2205,1.5707,3
3,2,688,27.52,3.2587,1.5658,3
3,2,689,27.56,3.2967,1.5628,3
4,2,955,38.2,-0.1125,1.538,3
4,2,956,38.24,-0.0771,1.5463,3
4,2,957,38.28,-0.0394,1.5545,3
4,2,958,38.32,0.0001,1.5626,3
4,2,959,38.36,0.0408,1.5682,3
4,2,960,38.4,0.0826,1.5709,3
4,2,961,38.44,0.1255,1.5708,3
4,2,962,38.48,0.1699,1.5688,3
4,2,963,38.52,0.2156,1.5648,3
4,2,964,38.56,0.2617,1.559,3
4,2,965,38.6,0.3083,1.5541,3
4,2,966,38.64,0.3561,1.5511,3
4,2,967,38.68,0.4043,1.5528,3
4,2,968,38.72,0.4517,1.5564,3
4,2,969,38.76,0.4981,1.5623,3
4,2,970,38.8,0.5433,1.5695,3
4,2,971,38.84,0.5871,1.5765,3
4,2,972,38.88,0.6297,1.5814,3
4,2,973,38.92,0.6729,1.5831,3
4,2,974,38.96,0.7173,1.5821,3
4,2,975,39.0,0.7634,1.5788,3
4,2,976,39.04,0.8104,1.574,3
4,2,977,39.08,0.8581,1.5685,3
4,2,978,39.12,0.9067,1.5632,3
4,2,979,39.16,0.9556,1.5606,3
4,2,980,39.2,1.0054,1.5623,3
4,2,981,39.24,1.0568,1.5685,3
4,2,982,39.28,1.107,1.5736,3
4,2,983,39.32,1.1575,1.5801,3
4,2,984,39.36,1.2082,1.5871,3
4,2,985,39.4,1.259,1.5928,3
4,2,986,39.44,1.3096,1.5954,3
4,2,987,39.48,1.3608,1.5948,3
4,2,988,39.52,1.4125,1.591,3
4,2,989,39.56,1.4642,1.5843,3
4,2,990,39.6,1.5156,1.5756,3
4,2,991,39.64,1.5668,1.5673,3
4,2,992,39.68,1.6178,1.5616,3
4,2,993,39.72,1.6678,1.5596,3
4,2,994,39.76,1.7179,1.563,3
4,2,995,39.8,1.7662,1.5671,3
4,2,996,39.84,1.8143,1.5726,3
4,2,997,39.88,1.8608,1.5776,3
4,2,998,39.92,1.9066,1.5814,3
4,2,999,39.96,1.9516,1.5823,3
4,2,1000,40.0,1.9971,1.5815,3
4,2,1001,40.04,2.0437,1.5782,3
4,2,1002,40.08,2.0911,1.5734,3
4,2,1003,40.12,2.1394,1.5676,3
4,2,1004,40.16,2.1892,1.5622,3
4,2,1005,40.2,2.2404,1.5582,3
4,2,1006,40.24,2.2923,1.5562,3
4,2,1007,40.28,2.3456,1.5586,3
4,2,1008,40.32,2.3988,1.5618,3
4,2,1009,40.36,2.4508,1.5662,3
4,2,1010,40.4,2.5012,1.5708,3
4,2,1011,40.44,2.5499,1.5754,3
4,2,1012,40.48,2.597,1.5786,3
4,2,1013,40.52,2.6439,1.5791,3
4,2,1014,40.56,2.6912,1.5768,3
4,2,1015,40.6,2.7384,1.5723,3
4,2,1016,40.64,2.7853,1.566,3
4,2,1017,40.68,2.8314,1.559,3
4,2,1018,40.72,2.8768,1.5537,3
4,2,1019,40.76,2.9202,1.55,3
4,2,1020,40.8,2.9628,1.5511,3
4,2,1021,40.84,3.0029,1.5534,3
4,2,1022,40.88,3.043,1.5587,3
4,2,1023,40.92,3.0825,1.5643,3
4,2,1024,40.96,3.121,1.5686,3
4,2,1025,41.0,3.1589,1.5702,3
4,2,1026,41.04,3.1965,1.5694,3
4,2,1027,41.08,3.2343,1.5659,3
4,2,1028,41.12,3.2722,1.5608,3
5,2,1328,53.12,-0.1301,1.5565,5
5,2,1329,53.16,-0.0716,1.572,5
5,2,1330,53.2,-0.0146,1.5862,5
5,2,1331,53.24,0.0413,1.5939,5
5,2,1332,53.28,0.0965,1.5929,5
5,2,1333,53.32,0.1528,1.5845,5
5,2,1334,53.36,0.2106,1.5714,5
5,2,1335,53.4,0.2695,1.5569,5
5,2,1336,53.44,0.3297,1.5448,5
5,2,1337,53.48,0.3911,1.5372,5
5,2,1338,53.52,0.4538,1.5344,5
5,2,1339,53.56,0.516,1.5349,5
5,2,1340,53.6,0.5753,1.5373,5
5,2,1341,53.64,0.6324,1.5437,5
5,2,1342,53.68,0.6869,1.5534,5
5,2,1343,53.72,0.7386,1.5642,5
5,2,1344,53.76,0.7891,1.5717,5
5,2,1345,53.8,0.8397,1.5729,5
5,2,1346,53.84,0.8911,1.5672,5
5,2,1347,53.88,0.9435,1.5559,5
5,2,1348,53.92,0.9983,1.5428,5
5,2,1349,53.96,1.0553,1.5313,5
5,2,1350,54.0,1.1146,1.5252,5
5,2,1351,54.04,1.176,1.5261,5
5,2,1352,54.08,1.2377,1.5348,5
5,2,1353,54.12,1.2986,1.5469,5
5,2,1354,54.16,1.3571,1.56,5
5,2,1355,54.2,1.4141,1.575,5
5,2,1356,54.24,1.47,1.5882,5
5,2,1357,54.28,1.5253,1.5955,5
5,2,1358,54.32,1.5807,1.5954,5
5,2,1359,54.36,1.6375,1.5892,5
5,2,1360,54.4,1.696,1.5783,5
5,2,1361,54.44,1.7558,1.5648,5
5,2,1362,54.48,1.8172,1.5527,5
5,2,1363,54.52,1.8795,1.5435,5
5,2,1364,54.56,1.9418,1.5382,5
5,2,1365,54.6,2.0024,1.5368,5
5,2,1366,54.64,2.0604,1.5386,5
5,2,1367,54.68,2.1148,1.5444,5
5,2,1368,54.72,2.1667,1.5542,5
5,2,1369,54.76,2.2159,1.5655,5
5,2,1370,54.8,2.2647,1.5739,5
5,2,1371,54.84,2.3139,1.5758,5
5,2,1372,54.88,2.3638,1.5708,5
5,2,1373,54.92,2.4149,1.56,5
5,2,1374,54.96,2.4678,1.5466,5
5,2,1375,55.0,2.5228,1.5342,5
5,2,1376,55.04,2.5799,1.5258,5
5,2,1377,55.08,2.639,1.5231,5
5,2,1378,55.12,2.6989,1.527,5
5,2,1379,55.16,2.7582,1.5352,5
5,2,1380,55.2,2.8147,1.5444,5
5,2,1381,55.24,2.8684,1.5558,5
5,2,1382,55.28,2.888,1.5527,5
5,2,1383,55.32,2.9378,1.5623,5
5,2,1384,55.36,2.9842,1.5723,5
5,2,1385,55.4,3.0291,1.5793,5
5,2,1386,55.44,3.0764,1.5791,5
5,2,1387,55.48,3.121,1.5712,5
5,2,1388,55.52,3.1648,1.5593,5
5,2,1389,55.56,3.2088,1.5451,5
5,2,1390,55.6,3.241,1.4749,5
5,2,1391,55.64,3.315,1.2835,5
6,2,1657,66.28,-0.1125,1.538,5
6,2,1658,66.32,-0.0729,1.5495,5
6,2,1659,66.36,-0.0311,1.5555,5
6,2,1660,66.4,0.0114,1.556,5
6,2,1661,66.44,0.0556,1.5517,5
6,2,1662,66.48,0.1025,1.5447,5
6,2,1663,66.52,0.1508,1.5356,5
6,2,1664,66.56,0.2018,1.5269,5
6,2,1665,66.6,0.2545,1.5215,5
6,2,1666,66.64,0.3085,1.5192,5
6,2,1667,66.68,0.3628,1.5208,5
6,2,1668,66.72,0.4156,1.5248,5
6,2,1669,66.76,0.4655,1.5309,5
6,2,1670,66.8,0.5137,1.5399,5
6,2,1671,66.84,0.5595,1.5502,5
6,2,1672,66.88,0.6035,1.5585,5
6,2,1673,66.92,0.6465,1.5621,5
6,2,1674,66.96,0.6907,1.5609,5
6,2,1675,67.0,0.7356,1.5555,5
6,2,1676,67.04,0.7822,1.5469,5
6,2,1677,67.08,0.831,1.5374,5
6,2,1678,67.12,0.8812,1.5286,5
6,2,1679,67.16,0.9349,1.5236,5
6,2,1680,67.2,0.9901,1.5231,5
6,2,1681,67.24,1.046,1.5285,5
6,2,1682,67.28,1.1016,1.5389,5
6,2,1683,67.32,1.1547,1.5506,5
6,2,1684,67.36,1.2077,1.5634,5
6,2,1685,67.4,1.2583,1.5773,5
6,2,1686,67.44,1.3079,1.5876,5
6,2,1687,67.48,1.3566,1.5921,5
6,2,1688,67.52,1.4059,1.5905,5
6,2,1689,67.56,1.4567,1.5838,5
6,2,1690,67.6,1.5083,1.5732,5
6,2,1691,67.64,1.5616,1.5614,5
6,2,1692,67.68,1.6142,1.5498,5
6,2,1693,67.72,1.6684,1.5417,5
6,2,1694,67.76,1.7226,1.537,5
6,2,1695,67.8,1.7756,1.5356,5
6,2,1696,67.84,1.8262,1.5376,5
6,2,1697,67.88,1.8759,1.5437,5
6,2,1698,67.92,1.9228,1.5546,5
6,2,1699,67.96,1.9683,1.5661,5
