ID,gender,frame,t(s),x(m),y(m),markerID
2,1,383,15.32,1.9877,1.4746,2
2,1,384,15.36,2.0455,1.4664,2
2,1,385,15.4,2.1027,1.464,2
2,1,386,15.44,2.1602,1.4646,2
2,1,387,15.48,2.218,1.4708,2
2,1,388,15.52,2.2743,1.476,2
2,1,389,15.56,2.3307,1.4823,2
2,1,390,15.6,2.386,1.4888,2
2,1,391,15.64,2.4422,1.4912,2
2,1,392,15.68,2.4962,1.4898,2
2,1,393,15.72,2.5498,1.4852,2
2,1,394,15.76,2.6043,1.478,2
2,1,395,15.8,2.659,1.4699,2
2,1,396,15.84,2.7153,1.46,2
2,1,397,15.88,2.7719,1.4552,2
2,1,398,15.92,2.8293,1.4526,2
2,1,399,15.96,2.888,1.4543,2
2,1,400,16.0,2.9462,1.4617,2
2,1,401,16.04,3.0052,1.4711,2
2,1,402,16.08,3.0628,1.4773,2
2,1,403,16.12,3.1178,1.4872,2
2,1,404,16.16,3.1692,1.4944,2
2,1,405,16.2,3.2205,1.5018,2
2,1,406,16.24,3.2708,1.493,2
2,1,407,16.28,3.3174,1.4871,2
2,1,408,16.32,3.3608,1.4884,2
2,1,409,16.36,3.404,1.4856,2
2,1,410,16.4,3.4444,1.4809,2
2,1,411,16.44,3.4818,1.4826,2
2,1,412,16.48,3.5213,1.4831,2
2,1,413,16.52,3.5585,1.4875,2
2,1,414,16.56,3.5968,1.4934,2
3,1,679,27.16,-0.301,1.5155,4
3,1,680,27.2,-0.2481,1.5164,4
3,1,681,27.24,-0.1955,1.5156,4
3,1,682,27.28,-0.1407,1.514,4
3,1,683,27.32,-0.0902,1.5119,4
3,1,684,27.36,-0.0408,1.5068,4
3,1,685,27.4,0.0084,1.4968,4
3,1,686,27.44,0.0577,1.4915,4
3,1,687,27.48,0.1052,1.4773,4
3,1,688,27.52,0.1527,1.4677,4
3,1,689,27.56,0.2022,1.462,4
3,1,690,27.6,0.2531,1.4553,4
3,1,691,27.64,0.3049,1.453,4
3,1,692,27.68,0.3614,1.4508,4
3,1,693,27.72,0.4163,1.457,4
3,1,694,27.76,0.4687,1.453,4
3,1,695,27.8,0.5199,1.4549,4
3,1,696,27.84,0.57,1.456,4
3,1,697,27.88,0.6188,1.456,4
3,1,698,27.92,0.6671,1.4529,4
3,1,699,27.96,0.7148,1.4459,4
3,1,700,28.0,0.7608,1.4394,4
3,1,701,28.04,0.8117,1.4305,4
3,1,702,28.08,0.8621,1.4217,4
3,1,703,28.12,0.9128,1.4208,4
3,1,704,28.16,0.9641,1.4228,4
3,1,705,28.2,1.0153,1.4278,4
3,1,706,28.24,1.0656,1.4342,4
3,1,707,28.28,1.1119,1.4409,4
3,1,708,28.32,1.1608,1.445,4
3,1,709,28.36,1.2081,1.4456,4
3,1,710,28.4,1.2547,1.447,4
3,1,711,28.44,1.3013,1.4436,4
3,1,712,28.48,1.3469,1.4376,4
3,1,713,28.52,1.3933,1.4294,4
3,1,714,28.56,1.4404,1.4229,4
3,1,715,28.6,1.4886,1.418,4
