ID,gender,frame,t(s),x(m),y(m),markerID
1,1,0,0.0,-3.0839,0.1887,787
1,1,1,0.04,-3.0637,0.1912,787
1,1,2,0.08,-3.0365,0.1813,787
1,1,3,0.12,-3.0091,0.1782,787
1,1,4,0.16,-2.9801,0.1745,787
1,1,5,0.2,-2.9511,0.1704,787
1,1,6,0.24,-2.9244,0.1668,787
1,1,7,0.28,-2.8998,0.1638,787
1,1,8,0.32,-2.8735,0.1683,787
1,1,9,0.36,-2.8525,0.1753,787
1,1,10,0.4,-2.8236,0.1761,787
1,1,11,0.44,-2.7981,0.1812,787
1,1,12,0.48,-2.7702,0.1889,787
1,1,13,0.52,-2.7383,0.1979,787
1,1,14,0.56,-2.7054,0.2093,787
1,1,15,0.6,-2.6788,0.2257,787
1,1,16,0.64,-2.6441,0.2428,787
1,1,17,0.68,-2.6101,0.2598,787
1,1,18,0.72,-2.5761,0.2792,787
1,1,19,0.76,-2.5439,0.3051,787
1,1,20,0.8,-2.5087,0.3227,787
1,1,21,0.84,-2.4888,0.3569,787
1,1,22,0.88,-2.4632,0.3818,787
1,1,23,0.92,-2.4307,0.3995,787
1,1,24,0.96,-2.4076,0.42,787
1,1,25,1.0,-2.3921,0.451,787
1,1,26,1.04,-2.3698,0.472,787
1,1,27,1.08,-2.3316,0.4838,787
1,1,28,1.12,-2.3016,0.5078,787
1,1,29,1.16,-2.2806,0.5455,787
1,1,30,1.2,-2.2379,0.561,787
1,1,31,1.24,-2.2089,0.6012,787
1,1,32,1.28,-2.163,0.6178,787
1,1,33,1.32,-2.1239,0.649,787
1,1,34,1.36,-2.086,0.6811,787
1,1,35,1.4,-2.0461,0.7152,787
1,1,36,1.44,-2.0172,0.7564,787
1,1,37,1.48,-1.9802,0.792,787
1,1,38,1.52,-1.9482,0.8295,787
1,1,39,1.56,-1.9194,0.8679,787
1,1,40,1.6,-1.8902,0.9014,787
1,1,41,1.64,-1.8649,0.9422,787
1,1,42,1.68,-1.8456,0.9798,787
1,1,43,1.72,-1.8166,1.029,787
1,1,44,1.76,-1.7912,1.0729,787
1,1,45,1.8,-1.7728,1.1222,787
1,1,46,1.84,-1.7436,1.1683,787
1,1,47,1.88,-1.7219,1.2176,787
1,1,48,1.92,-1.7084,1.2698,787
1,1,49,1.96,-1.6952,1.3171,787
1,1,50,2.0,-1.6765,1.3636,787
1,1,51,2.04,-1.6831,1.4141,787
1,1,52,2.08,-1.672,1.4681,787
1,1,53,2.12,-1.6634,1.5183,787
1,1,54,2.16,-1.6475,1.5685,787
1,1,55,2.2,-1.6274,1.6204,787
1,1,56,2.24,-1.6209,1.672,787
1,1,57,2.28,-1.6061,1.72,787
1,1,58,2.32,-1.5945,1.7742,787
1,1,59,2.36,-1.579,1.8249,787
1,1,60,2.4,-1.5616,1.881,787
1,1,61,2.44,-1.5487,1.9324,787
1,1,62,2.48,-1.5306,1.9895,787
1,1,63,2.52,-1.5173,2.0449,787
1,1,64,2.56,-1.505,2.1074,787
1,1,65,2.6,-1.4944,2.1721,787
1,1,66,2.64,-1.4862,2.2334,787
1,1,67,2.68,-1.4811,2.2955,787
1,1,68,2.72,-1.4761,2.3539,787
1,1,69,2.76,-1.469,2.4106,787
1,1,70,2.8,-1.4663,2.4716,787
1,1,71,2.84,-1.4617,2.526,787
1,1,72,2.88,-1.4593,2.5818,787
1,1,73,2.92,-1.4529,2.6388,787
1,1,74,2.96,-1.4522,2.6914,787
1,1,75,3.0,-1.45,2.7444,787
1,1,76,3.04,-1.4476,2.7959,787
1,1,77,3.08,-1.4479,2.8534,787
1,1,78,3.12,-1.4508,2.9168,787
1,1,79,3.16,-1.4582,2.9791,787
1,1,80,3.2,-1.4616,3.0392,787
1,1,81,3.24,-1.4665,3.098,787
1,1,82,3.28,-1.4658,3.1529,787
1,1,83,3.32,-1.4683,3.2098,787
