ID,gender,frame,t(s),x(m),y(m),markerID
1,1,315,12.6,3.4862,-0.3462,941
1,1,316,12.64,3.5072,-0.3004,941
1,1,317,12.68,3.525,-0.2517,941
1,1,318,12.72,3.5412,-0.1997,941
1,1,319,12.76,3.5576,-0.146,941
1,1,320,12.8,3.5708,-0.0986,941
1,1,321,12.84,3.5982,-0.0419,941
1,1,322,12.88,3.6008,0.0106,941
1,1,323,12.92,3.6279,0.0591,941
1,1,324,12.96,3.6544,0.0992,941
1,1,325,13.0,3.675,0.1396,941
1,1,326,13.04,3.682,0.1729,941
1,1,327,13.08,3.7219,0.22,941
1,1,328,13.12,3.7392,0.2476,941
1,1,329,13.16,3.7699,0.2823,941
1,1,330,13.2,3.7958,0.3281,941
1,1,331,13.24,3.8111,0.3716,941
1,1,332,13.28,3.8396,0.421,941
1,1,333,13.32,3.8667,0.4711,941
1,1,334,13.36,3.8869,0.5204,941
1,1,335,13.4,3.9361,0.5617,941
1,1,336,13.44,3.9516,0.6041,941
1,1,337,13.48,4.0086,0.6562,941
1,1,338,13.52,4.0484,0.69,941
1,1,339,13.56,4.0819,0.7295,941
1,1,340,13.6,4.1046,0.7699,941
1,1,341,13.64,4.1496,0.8069,941
1,1,342,13.68,4.1707,0.8348,941
1,1,343,13.72,4.1814,0.8915,941
1,1,344,13.76,4.21,0.926,941
1,1,345,13.8,4.2274,0.9704,941
1,1,346,13.84,4.247,1.0158,941
1,1,347,13.88,4.2501,1.0656,941
1,1,348,13.92,4.2584,1.1208,941
1,1,349,13.96,4.2624,1.165,941
1,1,350,14.0,4.2698,1.219,941
1,1,351,14.04,4.2662,1.2716,941
1,1,352,14.08,4.2816,1.3139,941
1,1,353,14.12,4.2812,1.34,941
1,1,354,14.16,4.3018,1.3765,941
1,1,355,14.2,4.3209,1.4166,941
1,1,356,14.24,4.3399,1.4431,941
1,1,357,14.28,4.3716,1.4906,941
1,1,358,14.32,4.3976,1.5383,941
1,1,359,14.36,4.4076,1.5845,941
1,1,360,14.4,4.427,1.6407,941
1,1,361,14.44,4.4362,1.6955,941
1,1,362,14.48,4.4678,1.7452,941
1,1,363,14.52,4.4736,1.7954,941
1,1,364,14.56,4.4989,1.8483,941
1,1,365,14.6,4.519,1.8935,941
1,1,366,14.64,4.5481,1.9433,941
1,1,367,14.68,4.5767,1.9931,941
1,1,368,14.72,4.5953,2.0357,941
1,1,369,14.76,4.6095,2.0755,941
1,1,370,14.8,4.6299,2.1141,941
1,1,371,14.84,4.6414,2.1595,941
1,1,372,14.88,4.6527,2.2063,941
1,1,373,14.92,4.6503,2.2666,941
